INFO:root:Action : Reduce rule [none -> <empty>] with [] and goto state 121
INFO:root:Action : Reduce rule [stmts -> none] with [None] and goto state 3
INFO:root:Action : Reduce rule [lin_term -> NEWLINE] with ['\n'] and goto state 75
INFO:root:Action : Reduce rule [lin_terms -> lin_term] with [None] and goto state 72
INFO:root:Action : Reduce rule [lin_term -> NEWLINE] with ['\n'] and goto state 75
INFO:root:Action : Reduce rule [lin_terms -> lin_terms lin_term] with [None,None] and goto state 73
INFO:root:Action : Reduce rule [user_var -> LOCALVAR] with ['a'] and goto state 107
INFO:root:Action : Reduce rule [lhs -> user_var] with [None] and goto state 64
INFO:root:Action : Reduce rule [numeric -> FLOAT] with ['1.2'] and goto state 103
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
INFO:root:Action : Reduce rule [primary_expr -> literal] with [None] and goto state 56
INFO:root:Action : Reduce rule [l1_expr -> primary_expr] with [None] and goto state 52
INFO:root:Action : Reduce rule [l2_expr -> l1_expr] with [None] and goto state 51
INFO:root:Action : Reduce rule [l3_expr -> l2_expr] with [None] and goto state 47
INFO:root:Action : Reduce rule [l4_expr -> l3_expr] with [None] and goto state 45
INFO:root:Action : Reduce rule [l5_expr -> l4_expr] with [None] and goto state 43
INFO:root:Action : Reduce rule [l6_expr -> l5_expr] with [None] and goto state 39
INFO:root:Action : Reduce rule [numeric -> INT] with ['2'] and goto state 102
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
INFO:root:Action : Reduce rule [primary_expr -> literal] with [None] and goto state 56
INFO:root:Action : Reduce rule [l1_expr -> primary_expr] with [None] and goto state 52
INFO:root:Action : Reduce rule [l2_expr -> l1_expr] with [None] and goto state 51
INFO:root:Action : Reduce rule [l3_expr -> l2_expr] with [None] and goto state 47
INFO:root:Action : Reduce rule [l4_expr -> l3_expr] with [None] and goto state 45
INFO:root:Action : Reduce rule [l5_expr -> l4_expr] with [None] and goto state 43
INFO:root:Action : Reduce rule [l6_expr -> l6_expr + l5_expr] with [None,'+',None] and goto state 37
INFO:root:Action : Reduce rule [l7_expr -> l6_expr] with [None] and goto state 36
INFO:root:Action : Reduce rule [l8_expr -> l7_expr] with [None] and goto state 33
INFO:root:Action : Reduce rule [l9_expr -> l8_expr] with [None] and goto state 31
INFO:root:Action : Reduce rule [l10_expr -> l9_expr] with [None] and goto state 28
INFO:root:Action : Reduce rule [l11_expr -> l10_expr] with [None] and goto state 26
INFO:root:Action : Reduce rule [l12_expr -> l11_expr] with [None] and goto state 24
INFO:root:Action : Reduce rule [l13_expr -> l12_expr] with [None] and goto state 22
INFO:root:Action : Reduce rule [range_expr -> l13_expr] with [None] and goto state 20
INFO:root:Action : Reduce rule [assign_expr1 -> range_expr] with [None] and goto state 17
INFO:root:Action : Reduce rule [assign_expr1 -> lhs = assign_expr1] with [None,'=',None] and goto state 16
INFO:root:Action : Reduce rule [assign_expr2 -> assign_expr1] with [None] and goto state 15
INFO:root:Action : Reduce rule [assign_expr3 -> assign_expr2] with [None] and goto state 13
INFO:root:Action : Reduce rule [assign_expr4 -> assign_expr3] with [None] and goto state 11
INFO:root:Action : Reduce rule [expr -> assign_expr4] with [None] and goto state 9
INFO:root:Action : Reduce rule [stmt -> expr] with [None] and goto state 8
INFO:root:Action : Reduce rule [stmts -> stmts lin_terms stmt] with [None,None,None] and goto state 5
INFO:root:Action : Reduce rule [lin_term -> NEWLINE] with ['\n'] and goto state 75
INFO:root:Action : Reduce rule [lin_terms -> lin_term] with [None] and goto state 72
INFO:root:Action : Reduce rule [user_var -> LOCALVAR] with ['a'] and goto state 107
INFO:root:Action : Reduce rule [lhs -> user_var] with [None] and goto state 64
INFO:root:Action : Reduce rule [numeric -> INT] with ['2'] and goto state 102
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
INFO:root:Action : Reduce rule [primary_expr -> literal] with [None] and goto state 56
INFO:root:Action : Reduce rule [l1_expr -> primary_expr] with [None] and goto state 52
INFO:root:Action : Reduce rule [l2_expr -> l1_expr] with [None] and goto state 51
INFO:root:Action : Reduce rule [l3_expr -> l2_expr] with [None] and goto state 47
INFO:root:Action : Reduce rule [l4_expr -> l3_expr] with [None] and goto state 45
INFO:root:Action : Reduce rule [l5_expr -> l4_expr] with [None] and goto state 43
INFO:root:Action : Reduce rule [l6_expr -> l5_expr] with [None] and goto state 39
INFO:root:Action : Reduce rule [l7_expr -> l6_expr] with [None] and goto state 36
INFO:root:Action : Reduce rule [l8_expr -> l7_expr] with [None] and goto state 33
INFO:root:Action : Reduce rule [l9_expr -> l8_expr] with [None] and goto state 31
INFO:root:Action : Reduce rule [l10_expr -> l9_expr] with [None] and goto state 28
INFO:root:Action : Reduce rule [l11_expr -> l10_expr] with [None] and goto state 26
INFO:root:Action : Reduce rule [l12_expr -> l11_expr] with [None] and goto state 24
INFO:root:Action : Reduce rule [l13_expr -> l12_expr] with [None] and goto state 22
INFO:root:Action : Reduce rule [range_expr -> l13_expr] with [None] and goto state 20
INFO:root:Action : Reduce rule [assign_expr1 -> range_expr] with [None] and goto state 17
INFO:root:Action : Reduce rule [assign_expr1 -> lhs = assign_expr1] with [None,'=',None] and goto state 16
INFO:root:Action : Reduce rule [assign_expr2 -> assign_expr1] with [None] and goto state 15
INFO:root:Action : Reduce rule [assign_expr3 -> assign_expr2] with [None] and goto state 13
INFO:root:Action : Reduce rule [assign_expr4 -> assign_expr3] with [None] and goto state 11
INFO:root:Action : Reduce rule [expr -> assign_expr4] with [None] and goto state 9
INFO:root:Action : Reduce rule [stmt -> expr] with [None] and goto state 8
INFO:root:Action : Reduce rule [stmts -> stmts lin_terms stmt] with [None,None,None] and goto state 5
INFO:root:Action : Reduce rule [lin_term -> NEWLINE] with ['\n'] and goto state 75
INFO:root:Action : Reduce rule [lin_terms -> lin_term] with [None] and goto state 72
INFO:root:Action : Reduce rule [user_var -> LOCALVAR] with ['a'] and goto state 107
INFO:root:Action : Reduce rule [primary_expr -> user_var] with [None] and goto state 54
INFO:root:Action : Reduce rule [numeric -> INT] with ['2'] and goto state 102
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
INFO:root:Action : Reduce rule [primary_expr -> literal] with [None] and goto state 56
INFO:root:Action : Reduce rule [l1_expr -> primary_expr] with [None] and goto state 52
INFO:root:Action : Reduce rule [l2_expr -> l1_expr] with [None] and goto state 51
INFO:root:Action : Reduce rule [l3_expr -> l2_expr] with [None] and goto state 47
INFO:root:Action : Reduce rule [l4_expr -> l3_expr] with [None] and goto state 45
INFO:root:Action : Reduce rule [l5_expr -> l4_expr] with [None] and goto state 43
INFO:root:Action : Reduce rule [l6_expr -> l5_expr] with [None] and goto state 39
INFO:root:Action : Reduce rule [l7_expr -> l6_expr] with [None] and goto state 36
INFO:root:Action : Reduce rule [l8_expr -> l7_expr] with [None] and goto state 33
INFO:root:Action : Reduce rule [l9_expr -> l8_expr] with [None] and goto state 31
INFO:root:Action : Reduce rule [l10_expr -> l9_expr] with [None] and goto state 28
INFO:root:Action : Reduce rule [l11_expr -> l10_expr] with [None] and goto state 26
INFO:root:Action : Reduce rule [l12_expr -> l11_expr] with [None] and goto state 24
INFO:root:Action : Reduce rule [l13_expr -> l12_expr] with [None] and goto state 22
INFO:root:Action : Reduce rule [range_expr -> l13_expr] with [None] and goto state 20
INFO:root:Action : Reduce rule [assign_expr1 -> range_expr] with [None] and goto state 17
INFO:root:Action : Reduce rule [assign_expr2 -> assign_expr1] with [None] and goto state 15
INFO:root:Action : Reduce rule [assign_expr3 -> assign_expr2] with [None] and goto state 13
INFO:root:Action : Reduce rule [assign_expr4 -> assign_expr3] with [None] and goto state 11
INFO:root:Action : Reduce rule [expr -> assign_expr4] with [None] and goto state 9
INFO:root:Action : Reduce rule [lhs -> primary_expr [ expr ]] with [None,'[',None,']'] and goto state 67
INFO:root:Action : Reduce rule [numeric -> INT] with ['2'] and goto state 102
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
INFO:root:Action : Reduce rule [primary_expr -> literal] with [None] and goto state 56
INFO:root:Action : Reduce rule [l1_expr -> primary_expr] with [None] and goto state 52
INFO:root:Action : Reduce rule [l2_expr -> l1_expr] with [None] and goto state 51
INFO:root:Action : Reduce rule [l3_expr -> l2_expr] with [None] and goto state 47
INFO:root:Action : Reduce rule [l4_expr -> l3_expr] with [None] and goto state 45
INFO:root:Action : Reduce rule [l5_expr -> l4_expr] with [None] and goto state 43
INFO:root:Action : Reduce rule [l6_expr -> l5_expr] with [None] and goto state 39
INFO:root:Action : Reduce rule [user_var -> LOCALVAR] with ['b'] and goto state 107
INFO:root:Action : Reduce rule [primary_expr -> user_var] with [None] and goto state 54
INFO:root:Action : Reduce rule [numeric -> INT] with ['2'] and goto state 102
INFO:root:Action : Reduce rule [literal -> numeric] with [None] and goto state 78
